data,method,aggregator,metric,P,R,F1,H,J,KLD,C
arxiv_pubmed,SumyLexRank,Avg,rouge-4,2.86,2.96,2.89,,,,
arxiv_pubmed,SumyLexRank,Avg,rouge-l,19.05,27.01,22.34,,,,
arxiv_pubmed,SumyLexRank,Avg,rouge-su4,16.34,22.67,18.99,,,,
arxiv_pubmed,SumyLexRank,Avg,rouge-w,14.31,6.09,8.48,,,,
arxiv_pubmed,SumyLexRank,Avg,Gensim,,,,0.47,0.8,2.32,
arxiv_pubmed,SumyLexRank,Avg,NLTK,35.17,42.62,35.17,,,,
arxiv_pubmed,SumyLexRank,Avg,SKLearn,,,,,,,0.57
arxiv_pubmed,SumyTextRank,Avg,rouge-1,27.32,54.34,36.36,,,,
arxiv_pubmed,SumyTextRank,Avg,rouge-2,9.07,17.57,11.96,,,,
arxiv_pubmed,SumyTextRank,Avg,rouge-3,3.64,3.79,3.7,,,,
arxiv_pubmed,SumyTextRank,Avg,rouge-4,2.24,2.33,2.27,,,,
arxiv_pubmed,SumyTextRank,Avg,rouge-l,14.52,29.41,19.44,,,,
arxiv_pubmed,SumyTextRank,Avg,rouge-su4,12.01,23.71,15.95,,,,
arxiv_pubmed,SumyTextRank,Avg,rouge-w,13.28,5.7,7.93,,,,
arxiv_pubmed,SumyTextRank,Avg,Gensim,,,,0.47,0.83,2.36,
arxiv_pubmed,SumyTextRank,Avg,NLTK,27.04,43.47,27.04,,,,
arxiv_pubmed,SumyTextRank,Avg,SKLearn,,,,,,,0.58
arxiv_pubmed,SumySumBasic,Avg,rouge-1,45.01,33.65,38.51,,,,
arxiv_pubmed,SumySumBasic,Avg,rouge-2,12.47,9.23,10.61,,,,
arxiv_pubmed,SumySumBasic,Avg,rouge-3,3.03,2.94,2.95,,,,
arxiv_pubmed,SumySumBasic,Avg,rouge-4,1.73,1.7,1.7,,,,
arxiv_pubmed,SumySumBasic,Avg,rouge-l,24.04,17.73,20.4,,,,
arxiv_pubmed,SumySumBasic,Avg,rouge-su4,17.91,13.15,15.17,,,,
arxiv_pubmed,SumySumBasic,Avg,rouge-w,13.21,5.02,7.16,,,,
arxiv_pubmed,SumySumBasic,Avg,Gensim,,,,0.47,0.82,2.3,
arxiv_pubmed,SumySumBasic,Avg,NLTK,38.18,32.34,38.18,,,,
arxiv_pubmed,SumySumBasic,Avg,SKLearn,,,,,,,0.46
arxiv_pubmed,Transformers-facebook/bart-large-cnn,Avg,rouge-1,36.53,35.84,36.18,,,,
arxiv_pubmed,Transformers-facebook/bart-large-cnn,Avg,rouge-2,11.22,10.95,11.09,,,,
arxiv_pubmed,Transformers-facebook/bart-large-cnn,Avg,rouge-3,6.86,7.6,7.18,,,,
arxiv_pubmed,Transformers-facebook/bart-large-cnn,Avg,rouge-4,4.68,5.17,4.89,,,,
arxiv_pubmed,Transformers-facebook/bart-large-cnn,Avg,rouge-l,19.2,19.14,19.17,,,,
arxiv_pubmed,Transformers-facebook/bart-large-cnn,Avg,rouge-su4,14.58,14.19,14.38,,,,
arxiv_pubmed,Transformers-facebook/bart-large-cnn,Avg,rouge-w,15.48,7.09,9.66,,,,
arxiv_pubmed,Transformers-facebook/bart-large-cnn,Avg,Gensim,,,,0.48,0.83,2.39,
arxiv_pubmed,Transformers-facebook/bart-large-cnn,Avg,NLTK,29.9,34.86,29.9,,,,
arxiv_pubmed,Transformers-facebook/bart-large-cnn,Avg,SKLearn,,,,,,,0.51
arxiv_pubmed,Transformers-google/pegasus-xsum,Avg,rouge-1,22.24,23.78,22.98,,,,
arxiv_pubmed,Transformers-google/pegasus-xsum,Avg,rouge-2,4.45,4.97,4.69,,,,
arxiv_pubmed,Transformers-google/pegasus-xsum,Avg,rouge-3,2.8,3.09,2.92,,,,
arxiv_pubmed,Transformers-google/pegasus-xsum,Avg,rouge-4,1.65,1.81,1.72,,,,
arxiv_pubmed,Transformers-google/pegasus-xsum,Avg,rouge-l,15.32,16.61,15.94,,,,
arxiv_pubmed,Transformers-google/pegasus-xsum,Avg,rouge-su4,7.46,8.09,7.76,,,,
arxiv_pubmed,Transformers-google/pegasus-xsum,Avg,rouge-w,12.09,5.6,7.59,,,,
arxiv_pubmed,Transformers-google/pegasus-xsum,Avg,Gensim,,,,0.48,0.89,2.26,
arxiv_pubmed,Transformers-google/pegasus-xsum,Avg,NLTK,39.7,16.93,39.7,,,,
arxiv_pubmed,Transformers-google/pegasus-xsum,Avg,SKLearn,,,,,,,0.32
arxiv_pubmed,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,rouge-1,29.76,24.53,26.89,,,,
arxiv_pubmed,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,rouge-2,4.66,3.86,4.22,,,,
arxiv_pubmed,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,rouge-3,1.38,1.52,1.44,,,,
arxiv_pubmed,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,rouge-4,0.55,0.61,0.57,,,,
arxiv_pubmed,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,rouge-l,15.64,12.99,14.19,,,,
arxiv_pubmed,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,rouge-su4,9.31,7.6,8.37,,,,
arxiv_pubmed,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,rouge-w,10.31,4.71,6.42,,,,
arxiv_pubmed,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,Gensim,,,,0.47,0.87,2.36,
arxiv_pubmed,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,NLTK,22.65,25.04,22.65,,,,
arxiv_pubmed,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,SKLearn,,,,,,,0.42
big_patent,SumyRandom,Avg,rouge-1,27.66,40.2,32.77,,,,
big_patent,SumyRandom,Avg,rouge-2,6.47,10.11,7.89,,,,
big_patent,SumyRandom,Avg,rouge-3,1.74,1.92,1.79,,,,
big_patent,SumyRandom,Avg,rouge-4,0.59,0.65,0.61,,,,
big_patent,SumyRandom,Avg,rouge-l,16.13,23.72,19.2,,,,
big_patent,SumyRandom,Avg,rouge-su4,10.11,15.32,12.18,,,,
big_patent,SumyRandom,Avg,rouge-w,12.11,5.7,7.45,,,,
big_patent,SumyRandom,Avg,Gensim,,,,0.46,0.85,2.19,
big_patent,SumyRandom,Avg,NLTK,23.76,36.26,23.76,,,,
big_patent,SumyRandom,Avg,SKLearn,,,,,,,0.41
big_patent,SumyLuhn,Avg,rouge-1,14.33,61.66,23.26,,,,
big_patent,SumyLuhn,Avg,rouge-2,4.64,20.5,7.57,,,,
big_patent,SumyLuhn,Avg,rouge-3,2.4,2.79,2.53,,,,
big_patent,SumyLuhn,Avg,rouge-4,0.96,1.12,1.01,,,,
big_patent,SumyLuhn,Avg,rouge-l,8.6,38.87,14.08,,,,
big_patent,SumyLuhn,Avg,rouge-su4,6.32,28.21,10.33,,,,
big_patent,SumyLuhn,Avg,rouge-w,12.58,6.38,8.16,,,,
big_patent,SumyLuhn,Avg,Gensim,,,,0.47,0.89,2.2,
big_patent,SumyLuhn,Avg,NLTK,17.76,52.02,17.76,,,,
big_patent,SumyLuhn,Avg,SKLearn,,,,,,,0.5
big_patent,SumyLsa,Avg,rouge-1,27.08,36.38,31.05,,,,
big_patent,SumyLsa,Avg,rouge-2,5.39,7.51,6.28,,,,
big_patent,SumyLsa,Avg,rouge-3,1.5,1.66,1.54,,,,
big_patent,SumyLsa,Avg,rouge-4,0.54,0.6,0.56,,,,
big_patent,SumyLsa,Avg,rouge-l,15.46,21.09,17.84,,,,
big_patent,SumyLsa,Avg,rouge-su4,9.0,12.39,10.43,,,,
big_patent,SumyLsa,Avg,rouge-w,11.15,5.35,6.95,,,,
big_patent,SumyLsa,Avg,Gensim,,,,0.46,0.86,2.18,
big_patent,SumyLsa,Avg,NLTK,23.17,35.71,23.17,,,,
big_patent,SumyLsa,Avg,SKLearn,,,,,,,0.33
big_patent,SumyLexRank,Avg,rouge-1,20.23,57.24,29.9,,,,
big_patent,SumyLexRank,Avg,rouge-2,6.19,18.48,9.27,,,,
big_patent,SumyLexRank,Avg,rouge-3,2.73,3.15,2.87,,,,
big_patent,SumyLexRank,Avg,rouge-4,1.07,1.24,1.13,,,,
big_patent,SumyLexRank,Avg,rouge-l,11.77,34.87,17.6,,,,
big_patent,SumyLexRank,Avg,rouge-su4,8.53,25.38,12.77,,,,
big_patent,SumyLexRank,Avg,rouge-w,13.17,6.67,8.53,,,,
big_patent,SumyLexRank,Avg,Gensim,,,,0.47,0.86,2.23,
big_patent,SumyLexRank,Avg,NLTK,21.52,48.75,21.52,,,,
big_patent,SumyLexRank,Avg,SKLearn,,,,,,,0.5
big_patent,SumyTextRank,Avg,rouge-1,14.72,60.77,23.7,,,,
big_patent,SumyTextRank,Avg,rouge-2,4.77,20.26,7.72,,,,
big_patent,SumyTextRank,Avg,rouge-3,2.32,2.71,2.45,,,,
big_patent,SumyTextRank,Avg,rouge-4,0.91,1.06,0.96,,,,
big_patent,SumyTextRank,Avg,rouge-l,8.92,38.54,14.49,,,,
big_patent,SumyTextRank,Avg,rouge-su4,6.51,27.9,10.56,,,,
big_patent,SumyTextRank,Avg,rouge-w,12.63,6.44,8.23,,,,
big_patent,SumyTextRank,Avg,Gensim,,,,0.48,0.89,2.25,
big_patent,SumyTextRank,Avg,NLTK,17.89,51.25,17.89,,,,
big_patent,SumyTextRank,Avg,SKLearn,,,,,,,0.52
big_patent,SumySumBasic,Avg,rouge-1,34.38,35.34,34.85,,,,
big_patent,SumySumBasic,Avg,rouge-2,8.34,9.07,8.69,,,,
big_patent,SumySumBasic,Avg,rouge-3,2.14,2.09,2.05,,,,
big_patent,SumySumBasic,Avg,rouge-4,0.74,0.72,0.71,,,,
big_patent,SumySumBasic,Avg,rouge-l,20.58,20.89,20.73,,,,
big_patent,SumySumBasic,Avg,rouge-su4,12.86,13.47,13.16,,,,
big_patent,SumySumBasic,Avg,rouge-w,14.3,5.59,7.63,,,,
big_patent,SumySumBasic,Avg,Gensim,,,,0.46,0.85,2.17,
big_patent,SumySumBasic,Avg,NLTK,29.76,34.05,29.76,,,,
big_patent,SumySumBasic,Avg,SKLearn,,,,,,,0.42
big_patent,SumyKL,Avg,rouge-1,34.28,31.92,33.06,,,,
big_patent,SumyKL,Avg,rouge-2,9.13,8.3,8.69,,,,
big_patent,SumyKL,Avg,rouge-3,2.45,2.35,2.32,,,,
big_patent,SumyKL,Avg,rouge-4,0.87,0.83,0.82,,,,
big_patent,SumyKL,Avg,rouge-l,21.66,20.43,21.02,,,,
big_patent,SumyKL,Avg,rouge-su4,13.26,12.13,12.67,,,,
big_patent,SumyKL,Avg,rouge-w,14.14,5.92,7.99,,,,
big_patent,SumyKL,Avg,Gensim,,,,0.46,0.85,2.17,
big_patent,SumyKL,Avg,NLTK,28.65,27.77,28.65,,,,
big_patent,SumyKL,Avg,SKLearn,,,,,,,0.42
big_patent,SumyReduction,Avg,rouge-1,15.16,59.29,24.15,,,,
big_patent,SumyReduction,Avg,rouge-2,4.75,19.7,7.65,,,,
big_patent,SumyReduction,Avg,rouge-3,2.25,2.62,2.38,,,,
big_patent,SumyReduction,Avg,rouge-4,0.86,1.01,0.91,,,,
big_patent,SumyReduction,Avg,rouge-l,9.34,37.68,14.97,,,,
big_patent,SumyReduction,Avg,rouge-su4,6.57,27.15,10.58,,,,
big_patent,SumyReduction,Avg,rouge-w,12.58,6.37,8.15,,,,
big_patent,SumyReduction,Avg,Gensim,,,,0.47,0.89,2.23,
big_patent,SumyReduction,Avg,NLTK,18.65,49.88,18.65,,,,
big_patent,SumyReduction,Avg,SKLearn,,,,,,,0.51
big_patent,Transformers-facebook/bart-large-cnn,Avg,rouge-1,30.6,34.14,32.27,,,,
big_patent,Transformers-facebook/bart-large-cnn,Avg,rouge-2,7.8,8.58,8.17,,,,
big_patent,Transformers-facebook/bart-large-cnn,Avg,rouge-3,3.01,3.76,3.27,,,,
big_patent,Transformers-facebook/bart-large-cnn,Avg,rouge-4,1.27,1.6,1.38,,,,
big_patent,Transformers-facebook/bart-large-cnn,Avg,rouge-l,17.78,20.09,18.87,,,,
big_patent,Transformers-facebook/bart-large-cnn,Avg,rouge-su4,11.12,12.33,11.7,,,,
big_patent,Transformers-facebook/bart-large-cnn,Avg,rouge-w,13.31,7.18,8.97,,,,
big_patent,Transformers-facebook/bart-large-cnn,Avg,Gensim,,,,0.47,0.85,2.24,
big_patent,Transformers-facebook/bart-large-cnn,Avg,NLTK,25.47,34.66,25.47,,,,
big_patent,Transformers-facebook/bart-large-cnn,Avg,SKLearn,,,,,,,0.42
big_patent,Transformers-google/pegasus-xsum,Avg,rouge-1,22.65,26.3,24.34,,,,
big_patent,Transformers-google/pegasus-xsum,Avg,rouge-2,5.11,6.05,5.55,,,,
big_patent,Transformers-google/pegasus-xsum,Avg,rouge-3,2.33,2.99,2.56,,,,
big_patent,Transformers-google/pegasus-xsum,Avg,rouge-4,1.05,1.35,1.15,,,,
big_patent,Transformers-google/pegasus-xsum,Avg,rouge-l,17.03,20.24,18.5,,,,
big_patent,Transformers-google/pegasus-xsum,Avg,rouge-su4,7.88,9.24,8.5,,,,
big_patent,Transformers-google/pegasus-xsum,Avg,rouge-w,12.7,7.03,8.71,,,,
big_patent,Transformers-google/pegasus-xsum,Avg,Gensim,,,,0.48,0.88,2.19,
big_patent,Transformers-google/pegasus-xsum,Avg,NLTK,38.03,20.49,38.03,,,,
big_patent,Transformers-google/pegasus-xsum,Avg,SKLearn,,,,,,,0.3
big_patent,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,rouge-1,28.2,23.8,25.82,,,,
big_patent,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,rouge-2,4.36,3.53,3.9,,,,
big_patent,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,rouge-3,0.95,0.98,0.95,,,,
big_patent,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,rouge-4,0.29,0.3,0.29,,,,
big_patent,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,rouge-l,17.26,14.51,15.76,,,,
big_patent,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,rouge-su4,8.96,7.36,8.08,,,,
big_patent,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,rouge-w,11.59,5.29,6.99,,,,
big_patent,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,Gensim,,,,0.46,0.88,2.17,
big_patent,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,NLTK,22.53,27.07,22.53,,,,
big_patent,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,SKLearn,,,,,,,0.36
cnn_corpus_abstractive,Transformers-facebook/bart-large-cnn,Avg,rouge-1,33.29,33.54,33.41,,,,
cnn_corpus_abstractive,Transformers-facebook/bart-large-cnn,Avg,rouge-2,15.87,15.88,15.87,,,,
cnn_corpus_abstractive,Transformers-facebook/bart-large-cnn,Avg,rouge-3,12.82,12.97,12.74,,,,
cnn_corpus_abstractive,Transformers-facebook/bart-large-cnn,Avg,rouge-4,9.38,9.42,9.28,,,,
cnn_corpus_abstractive,Transformers-facebook/bart-large-cnn,Avg,rouge-l,25.29,25.53,25.41,,,,
cnn_corpus_abstractive,Transformers-facebook/bart-large-cnn,Avg,rouge-su4,15.89,15.93,15.91,,,,
cnn_corpus_abstractive,Transformers-facebook/bart-large-cnn,Avg,rouge-w,24.33,11.77,15.61,,,,
cnn_corpus_abstractive,Transformers-facebook/bart-large-cnn,Avg,Gensim,,,,0.44,0.84,1.8,
cnn_corpus_abstractive,Transformers-facebook/bart-large-cnn,Avg,NLTK,33.8,33.91,33.8,,,,
cnn_corpus_abstractive,Transformers-facebook/bart-large-cnn,Avg,SKLearn,,,,,,,0.35
cnn_corpus_abstractive,Transformers-google/pegasus-xsum,Avg,rouge-1,22.24,23.24,22.73,,,,
cnn_corpus_abstractive,Transformers-google/pegasus-xsum,Avg,rouge-2,6.26,6.62,6.43,,,,
cnn_corpus_abstractive,Transformers-google/pegasus-xsum,Avg,rouge-3,4.38,4.68,4.46,,,,
cnn_corpus_abstractive,Transformers-google/pegasus-xsum,Avg,rouge-4,2.6,2.76,2.63,,,,
cnn_corpus_abstractive,Transformers-google/pegasus-xsum,Avg,rouge-l,15.81,16.65,16.22,,,,
cnn_corpus_abstractive,Transformers-google/pegasus-xsum,Avg,rouge-su4,7.65,8.03,7.84,,,,
cnn_corpus_abstractive,Transformers-google/pegasus-xsum,Avg,rouge-w,15.7,7.94,10.35,,,,
cnn_corpus_abstractive,Transformers-google/pegasus-xsum,Avg,Gensim,,,,0.45,0.89,1.87,
cnn_corpus_abstractive,Transformers-google/pegasus-xsum,Avg,NLTK,25.75,22.45,25.75,,,,
cnn_corpus_abstractive,Transformers-google/pegasus-xsum,Avg,SKLearn,,,,,,,0.25
cnn_corpus_abstractive,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,rouge-1,24.43,18.25,20.9,,,,
cnn_corpus_abstractive,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,rouge-2,4.98,3.65,4.21,,,,
cnn_corpus_abstractive,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,rouge-3,2.9,2.13,2.42,,,,
cnn_corpus_abstractive,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,rouge-4,1.38,1.0,1.14,,,,
cnn_corpus_abstractive,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,rouge-l,16.32,12.25,14.0,,,,
cnn_corpus_abstractive,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,rouge-su4,7.29,5.31,6.14,,,,
cnn_corpus_abstractive,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,rouge-w,16.5,5.93,8.58,,,,
cnn_corpus_abstractive,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,Gensim,,,,0.42,0.9,1.71,
cnn_corpus_abstractive,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,NLTK,24.14,18.73,24.14,,,,
cnn_corpus_abstractive,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,SKLearn,,,,,,,0.22
cnn_corpus_extractive,SumyKL,Avg,rouge-1,34.2,32.59,33.37,,,,
cnn_corpus_extractive,SumyKL,Avg,rouge-2,16.95,16.28,16.61,,,,
cnn_corpus_extractive,SumyKL,Avg,rouge-3,14.12,14.09,13.89,,,,
cnn_corpus_extractive,SumyKL,Avg,rouge-4,13.08,13.09,12.88,,,,
cnn_corpus_extractive,SumyKL,Avg,rouge-l,25.15,24.19,24.66,,,,
cnn_corpus_extractive,SumyKL,Avg,rouge-su4,19.14,18.33,18.73,,,,
cnn_corpus_extractive,SumyKL,Avg,rouge-w,21.73,8.99,12.47,,,,
cnn_corpus_extractive,SumyKL,Avg,Gensim,,,,0.45,0.84,2.01,
cnn_corpus_extractive,SumyKL,Avg,NLTK,31.92,28.99,31.92,,,,
cnn_corpus_extractive,SumyKL,Avg,SKLearn,,,,,,,0.43
cnn_corpus_extractive,SumyReduction,Avg,rouge-1,33.47,49.65,39.98,,,,
cnn_corpus_extractive,SumyReduction,Avg,rouge-2,21.61,30.81,25.4,,,,
cnn_corpus_extractive,SumyReduction,Avg,rouge-3,22.36,25.2,23.5,,,,
cnn_corpus_extractive,SumyReduction,Avg,rouge-4,21.51,24.23,22.6,,,,
cnn_corpus_extractive,SumyReduction,Avg,rouge-l,26.93,39.42,32.0,,,,
cnn_corpus_extractive,SumyReduction,Avg,rouge-su4,22.97,33.31,27.19,,,,
cnn_corpus_extractive,SumyReduction,Avg,rouge-w,27.85,13.21,17.66,,,,
cnn_corpus_extractive,SumyReduction,Avg,Gensim,,,,0.48,0.8,2.16,
cnn_corpus_extractive,SumyReduction,Avg,NLTK,34.14,45.55,34.14,,,,
cnn_corpus_extractive,SumyReduction,Avg,SKLearn,,,,,,,0.54
cnn_corpus_extractive,SumyRandom,Avg,rouge-1,33.45,30.77,32.05,,,,
cnn_corpus_extractive,SumyRandom,Avg,rouge-2,15.33,14.52,14.91,,,,
cnn_corpus_extractive,SumyRandom,Avg,rouge-3,12.82,12.54,12.42,,,,
cnn_corpus_extractive,SumyRandom,Avg,rouge-4,11.94,11.72,11.59,,,,
cnn_corpus_extractive,SumyRandom,Avg,rouge-l,23.89,22.11,22.96,,,,
cnn_corpus_extractive,SumyRandom,Avg,rouge-su4,17.75,16.64,17.18,,,,
cnn_corpus_extractive,SumyRandom,Avg,rouge-w,20.88,8.25,11.55,,,,
cnn_corpus_extractive,SumyRandom,Avg,Gensim,,,,0.46,0.84,2.04,
cnn_corpus_extractive,SumyRandom,Avg,NLTK,30.89,29.19,30.89,,,,
cnn_corpus_extractive,SumyRandom,Avg,SKLearn,,,,,,,0.39
cnn_corpus_extractive,SumyLuhn,Avg,rouge-1,35.86,52.83,42.72,,,,
cnn_corpus_extractive,SumyLuhn,Avg,rouge-2,24.14,34.37,28.36,,,,
cnn_corpus_extractive,SumyLuhn,Avg,rouge-3,25.5,28.95,26.89,,,,
cnn_corpus_extractive,SumyLuhn,Avg,rouge-4,24.61,27.94,25.95,,,,
cnn_corpus_extractive,SumyLuhn,Avg,rouge-l,29.28,42.62,34.71,,,,
cnn_corpus_extractive,SumyLuhn,Avg,rouge-su4,25.37,36.66,29.99,,,,
cnn_corpus_extractive,SumyLuhn,Avg,rouge-w,30.48,14.53,19.4,,,,
cnn_corpus_extractive,SumyLuhn,Avg,Gensim,,,,0.47,0.79,2.16,
cnn_corpus_extractive,SumyLuhn,Avg,NLTK,37.03,49.1,37.03,,,,
cnn_corpus_extractive,SumyLuhn,Avg,SKLearn,,,,,,,0.54
cnn_corpus_extractive,SumyLsa,Avg,rouge-1,32.76,33.74,33.24,,,,
cnn_corpus_extractive,SumyLsa,Avg,rouge-2,16.21,16.9,16.55,,,,
cnn_corpus_extractive,SumyLsa,Avg,rouge-3,14.05,14.97,14.32,,,,
cnn_corpus_extractive,SumyLsa,Avg,rouge-4,13.21,14.09,13.47,,,,
cnn_corpus_extractive,SumyLsa,Avg,rouge-l,23.76,24.62,24.18,,,,
cnn_corpus_extractive,SumyLsa,Avg,rouge-su4,18.2,18.95,18.57,,,,
cnn_corpus_extractive,SumyLsa,Avg,rouge-w,20.94,9.23,12.59,,,,
cnn_corpus_extractive,SumyLsa,Avg,Gensim,,,,0.46,0.84,2.06,
cnn_corpus_extractive,SumyLsa,Avg,NLTK,30.97,33.67,30.97,,,,
cnn_corpus_extractive,SumyLsa,Avg,SKLearn,,,,,,,0.37
cnn_corpus_extractive,SumyLexRank,Avg,rouge-1,38.46,43.83,40.97,,,,
cnn_corpus_extractive,SumyLexRank,Avg,rouge-2,23.0,26.21,24.5,,,,
cnn_corpus_extractive,SumyLexRank,Avg,rouge-3,21.35,23.18,21.97,,,,
cnn_corpus_extractive,SumyLexRank,Avg,rouge-4,20.29,22.04,20.89,,,,
cnn_corpus_extractive,SumyLexRank,Avg,rouge-l,29.65,33.85,31.61,,,,
cnn_corpus_extractive,SumyLexRank,Avg,rouge-su4,24.7,28.24,26.36,,,,
cnn_corpus_extractive,SumyLexRank,Avg,rouge-w,27.54,12.41,16.83,,,,
